Series Name,Series Code,Country Name,Country Code,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
GDP (current US$),NY.GDP.MKTP.CD,Canada,CAN,1.79333E+12,1.82837E+12,1.8466E+12,1.80575E+12,1.55651E+12,1.52799E+12,1.64927E+12,1.72185E+12,1.74158E+12,1.64341E+12
GDP (current US$),NY.GDP.MKTP.CD,Cayman Islands,CYM,4186223809,4291159006,4405954638,4563017881,4708336733,4909498980,5166467299,5522625585,5935769351,..
GDP (current US$),NY.GDP.MKTP.CD,Central African Republic,CAF,2437982707,2510126510,1691544111,1894813390,1695825714,1825018144,2072349974,2220979145,2220307319,2303078338
GDP (current US$),NY.GDP.MKTP.CD,Chad,TCD,12172309523,12367363678,12953535496,13940768066,10950392220,10097778354,10000395242,11239167048,11314951343,10093118570
GDP (current US$),NY.GDP.MKTP.CD,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..
GDP (current US$),NY.GDP.MKTP.CD,Chile,CHL,2.52252E+11,2.67122E+11,2.78384E+11,2.60542E+11,2.43919E+11,2.5044E+11,2.77035E+11,2.97572E+11,2.79385E+11,2.5294E+11
GDP (current US$),NY.GDP.MKTP.CD,China,CHN,7.5515E+12,8.53223E+12,9.57041E+12,1.04757E+13,1.10616E+13,1.12333E+13,1.23104E+13,1.38948E+13,1.42799E+13,1.47227E+13
GDP (current US$),NY.GDP.MKTP.CD,Colombia,COL,3.34944E+11,3.70921E+11,3.82116E+11,3.81112E+11,2.93482E+11,2.82825E+11,3.11884E+11,3.34198E+11,3.2343E+11,2.71347E+11
GDP (current US$),NY.GDP.MKTP.CD,Comoros,COM,1023086273,1015843491,1116224107,1149587660,966029599.8,1012835493,1077439756,1178530634,1165839900,1219690025
GDP (current US$),NY.GDP.MKTP.CD,"Congo, Dem. Rep.",COD,25839749199,29306235826,32679745298,35909040266,37917704900,37134799975,38019265626,46831342213,50400746171,49868970641
GDP (current US$),NY.GDP.MKTP.CD,"Congo, Rep.",COG,15634897273,17693924573,17953617927,17889079958,11885478502,10158508345,11109029840,13642740884,12693562948,10884686143
GDP (current US$),NY.GDP.MKTP.CD,Costa Rica,CRI,42762617082,47231651865,50949672206,52016408951,56441917653,58847016045,60516043590,62335931464,63951114302,61520669890
GDP (current US$),NY.GDP.MKTP.CD,Cote d'Ivoire,CIV,25414875503,26789047555,31273074528,35363533866,45814637971,47964234560,51588158718,58011466451,58539424930,61348579465
GDP (current US$),NY.GDP.MKTP.CD,Croatia,HRV,62537851352,56580819624,58194069434,57639588806,49525747504,51601147666,55481644098,61375222347,60752588976,55966581780
GDP (current US$),NY.GDP.MKTP.CD,Cuba,CUB,68990000000,73141000000,77148000000,80656000000,87133000000,91370000000,96851000000,1.0005E+11,1.03131E+11,..
GDP (current US$),NY.GDP.MKTP.CD,Curacao,CUW,3038699609,3131096089,3147616201,3158406034,3151910782,3122287933,3116610112,3127908045,3101787709,..
GDP (current US$),NY.GDP.MKTP.CD,Cyprus,CYP,27565469098,24978513427,23900872626,23156850007,19842404305,20953442550,22729184365,25309818139,24949065264,23804340377
GDP (current US$),NY.GDP.MKTP.CD,Czech Republic,CZE,2.29563E+11,2.08858E+11,2.11686E+11,2.09359E+11,1.88033E+11,1.96272E+11,2.18629E+11,2.4895E+11,2.50686E+11,2.4353E+11
GDP (current US$),NY.GDP.MKTP.CD,Denmark,DNK,3.44003E+11,3.27149E+11,3.43584E+11,3.52994E+11,3.02673E+11,3.13116E+11,3.32121E+11,3.56879E+11,3.50104E+11,3.55184E+11
GDP (current US$),NY.GDP.MKTP.CD,Djibouti,DJI,1239144502,1353632942,2042817163,2214681574,2430287967,2603554907,2751461056,3012820410,3324634256,3384404260
GDP (current US$),NY.GDP.MKTP.CD,Dominica,DMA,501025925.9,485996296.3,498296296.3,520207407.4,540737037,576229629.6,519837037,551074074.1,574607407.4,469870370.4
